;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
117;accepter;10300;0,00688907;;;;;;;;;;;;;;;;;;;;;;
118;constituer;10287;0,006880375;;;;;;;;;;;;;;;;;;;;;;
119;placer;10278;0,006874355;;;;;;;;;;;;;;;;;;;;;;
120;élever;10268;0,006867667;;;;;;;;;;;;;;;;;;;;;;
121;apparaître;10153;0,00679075;;;;;;;;;;;;;;;;;;;;;;
122;effectuer;10002;0,006689755;;;;;;;;;;;;;;;;;;;;;;
123;déclarer;9924;0,006637585;;;;;;;;;;;;;;;;;;;;;;
124;partager;9922;0,006636248;;;;;;;;;;;;;;;;;;;;;;
125;réduire;9863;0,006596786;;;;;;;;;;;;;;;;;;;;;;
126;réussir;9817;0,006566019;;;;;;;;;;;;;;;;;;;;;;
127;construire;9807;0,006559331;;;;;;;;;;;;;;;;;;;;;;
128;occuper;9791;0,006548629;;;;;;;;;;;;;;;;;;;;;;
129;tirer;9605;0,006424225;;;;;;;;;;;;;;;;;;;;;;
130;publier;9562;0,006395465;;;;;;;;;;;;;;;;;;;;;;
131;mourir;9435;0,006310522;;;;;;;;;;;;;;;;;;;;;;
132;remettre;9410;0,006293801;;;;;;;;;;;;;;;;;;;;;;
133;vendre;9300;0,006220228;;;;;;;;;;;;;;;;;;;;;;
134;préparer;9248;0,006185448;;;;;;;;;;;;;;;;;;;;;;
135;monter;9182;0,006141305;;;;;;;;;;;;;;;;;;;;;;
136;naître;9152;0,00612124;;;;;;;;;;;;;;;;;;;;;;
137;préférer;9143;0,00611522;;;;;;;;;;;;;;;;;;;;;;
138;établir;9084;0,006075758;;;;;;;;;;;;;;;;;;;;;;
139;quitter;9002;0,006020913;;;;;;;;;;;;;;;;;;;;;;
140;manquer;8958;0,005991484;;;;;;;;;;;;;;;;;;;;;;
141;manger;8953;0,00598814;;;;;;;;;;;;;;;;;;;;;;
142;posséder;8891;0,005946672;;;;;;;;;;;;;;;;;;;;;;
143;contenir;8880;0,005939315;;;;;;;;;;;;;;;;;;;;;;
144;engager;8859;0,005925269;;;;;;;;;;;;;;;;;;;;;;
145;associer;8726;0,005836313;;;;;;;;;;;;;;;;;;;;;;
146;toucher;8715;0,005828956;;;;;;;;;;;;;;;;;;;;;;
147;intéresser;8421;0,005632316;;;;;;;;;;;;;;;;;;;;;;
148;améliorer;8381;0,005605563;;;;;;;;;;;;;;;;;;;;;;
149;paraître;8317;0,005562757;;;;;;;;;;;;;;;;;;;;;;
150;accompagner;8313;0,005560081;;;;;;;;;;;;;;;;;;;;;;
151;disposer;8306;0,005555399;;;;;;;;;;;;;;;;;;;;;;
152;traiter;8283;0,005540016;;;;;;;;;;;;;;;;;;;;;;
153;conduire;8280;0,00553801;;;;;;;;;;;;;;;;;;;;;;
154;soutenir;8252;0,005519282;;;;;;;;;;;;;;;;;;;;;;
155;inscrire;8206;0,005488515;;;;;;;;;;;;;;;;;;;;;;
156;valoir;8162;0,005459086;;;;;;;;;;;;;;;;;;;;;;
157;imposer;8137;0,005442365;;;;;;;;;;;;;;;;;;;;;;
158;terminer;8097;0,005415612;;;;;;;;;;;;;;;;;;;;;;
159;suffire;8048;0,005382838;;;;;;;;;;;;;;;;;;;;;;
160;emp?cher;8046;0,005381501;;;;;;;;;;;;;;;;;;;;;;
161;viser;8001;0,005351403;;;;;;;;;;;;;;;;;;;;;;
162;adapter;7987;0,005342039;;;;;;;;;;;;;;;;;;;;;;
163;noter;7866;0,005261109;;;;;;;;;;;;;;;;;;;;;;
