;language:;French;;;;;;;;;;;;;;;;;;;;;;;
;corpus:;French Web 2012;;;;;;;;;;;;;;;;;;;;;;;
;word form;frequence;;;;;;;;;;;;;;;;;;;;;;;
129;tro?ka;5 465;0,042851318;;;;;;;;;;;;;;;;;;;;;;
130;Sa?da;5 420;0,042498471;;;;;;;;;;;;;;;;;;;;;;
131;ra?;5 415;0,042459266;;;;;;;;;;;;;;;;;;;;;;
132;andro?d;5 279;0,041392883;;;;;;;;;;;;;;;;;;;;;;
133;co?t;5 202;0,040789123;;;;;;;;;;;;;;;;;;;;;;
134;hypothyro?die;5 166;0,040506845;;;;;;;;;;;;;;;;;;;;;;
135;Kasa?;5 135;0,040263773;;;;;;;;;;;;;;;;;;;;;;
136;spermatozo?de;5 042;0,039534555;;;;;;;;;;;;;;;;;;;;;;
137;ra?s;5 020;0,039362052;;;;;;;;;;;;;;;;;;;;;;
138;co?ncidÇ;5 016;0,039330688;;;;;;;;;;;;;;;;;;;;;;
139;andro?de;4 927;0,038632835;;;;;;;;;;;;;;;;;;;;;;
140;a?;4 853;0,038052598;;;;;;;;;;;;;;;;;;;;;;
141;tablo?d;4 691;0,036782348;;;;;;;;;;;;;;;;;;;;;;
142;A?da;4 658;0,036523594;;;;;;;;;;;;;;;;;;;;;;
143;Nicola?;4 632;0,036319727;;;;;;;;;;;;;;;;;;;;;;
144;fa?ences;4 608;0,036131541;;;;;;;;;;;;;;;;;;;;;;
145;flavono?des;4 595;0,036029608;;;;;;;;;;;;;;;;;;;;;;
146;sto?ciens;4 585;0,035951197;;;;;;;;;;;;;;;;;;;;;;
147;prosa?que;4 565;0,035794376;;;;;;;;;;;;;;;;;;;;;;
148;typho?de;4 537;0,035574827;;;;;;;;;;;;;;;;;;;;;;
149;jama?cain;4 507;0,035339596;;;;;;;;;;;;;;;;;;;;;;
150;Ma?a;4 488;0,035190616;;;;;;;;;;;;;;;;;;;;;;
151;Tcha?kovski;4 484;0,035159252;;;;;;;;;;;;;;;;;;;;;;
152;tao?ste;4 470;0,035049477;;;;;;;;;;;;;;;;;;;;;;
153;Nikola?;4 458;0,034955384;;;;;;;;;;;;;;;;;;;;;;
154;ha?ku;4 433;0,034759358;;;;;;;;;;;;;;;;;;;;;;
155;sense?;4 430;0,034735835;;;;;;;;;;;;;;;;;;;;;;
156;tao?sme;4 419;0,034649584;;;;;;;;;;;;;;;;;;;;;;
157;ma?zena;4 380;0,034343783;;;;;;;;;;;;;;;;;;;;;;
158;ca?ds;4 341;0,034037982;;;;;;;;;;;;;;;;;;;;;;
159;sto?cisme;4 339;0,0340223;;;;;;;;;;;;;;;;;;;;;;
160;Sa?gon;4 339;0,0340223;;;;;;;;;;;;;;;;;;;;;;
161;Çgo?stement;4 292;0,033653771;;;;;;;;;;;;;;;;;;;;;;
162;tablo?ds;4 281;0,033567519;;;;;;;;;;;;;;;;;;;;;;
163;ta?;4 122;0,032320793;;;;;;;;;;;;;;;;;;;;;;
164;parano?aques;4 104;0,032179654;;;;;;;;;;;;;;;;;;;;;;
165;hÇbra?ques;4 051;0,031764079;;;;;;;;;;;;;;;;;;;;;;
166;juda?que;4 010;0,031442596;;;;;;;;;;;;;;;;;;;;;;
